screen_name,topic
AustralianOpen,Tournament
AustralianOpen,SocietalEvent
AustralianOpen,SportsEvent
CNN,TelevisionStation
CNN,Broadcaster
cnnbrk,TelevisionStation
cnnbrk,Broadcaster
BBCWorld,TelevisionStation
BBCWorld,Broadcaster
espn,TelevisionStation
espn,Broadcaster
MSNBC,TelevisionStation
MSNBC,Broadcaster
FoxNews,TelevisionStation
FoxNews,Broadcaster
OANN,TelevisionStation
OANN,Broadcaster
CNNPolitics,TelevisionStation
CNNPolitics,Broadcaster
cnni,TelevisionStation
cnni,Broadcaster
cspan,TelevisionStation
cspan,Broadcaster
nflnetwork,TelevisionStation
nflnetwork,Broadcaster
weatherchannel,TelevisionStation
weatherchannel,Broadcaster
ESPNNFL,TelevisionStation
ESPNNFL,Broadcaster
CNBC,TelevisionStation
CNBC,Broadcaster
MTV,TelevisionStation
MTV,Broadcaster
enews,TelevisionStation
enews,Broadcaster
Discovery,TelevisionStation
Discovery,Broadcaster
ESPNStatsInfo,TelevisionStation
ESPNStatsInfo,Broadcaster
FoodNetwork,TelevisionStation
FoodNetwork,Broadcaster
NBATV,TelevisionStation
NBATV,Broadcaster
adultswim,TelevisionStation
adultswim,Broadcaster
nbc,TelevisionStation
nbc,Broadcaster
nbc,BroadcastNetwork
ComedyCentral,TelevisionStation
ComedyCentral,Broadcaster
BlazeTV,TelevisionStation
BlazeTV,Broadcaster
FoxBusiness,TelevisionStation
FoxBusiness,Broadcaster
eentertainment,TelevisionStation
eentertainment,Broadcaster
CBS,TelevisionStation
CBS,Broadcaster
CBS,BroadcastNetwork
foxnewspolitics,TelevisionStation
foxnewspolitics,Broadcaster
Nickelodeon,TelevisionStation
Nickelodeon,Broadcaster
AnimalPlanet,TelevisionStation
AnimalPlanet,Broadcaster
FOXTV,TelevisionStation
FOXTV,Broadcaster
FOXTV,BroadcastNetwork
ABCNetwork,TelevisionStation
ABCNetwork,BroadcastNetwork
hgtv,TelevisionStation
travelchannel,TelevisionStation
nbcwashington,TelevisionStation
ABC7NY,TelevisionStation
tcm,TelevisionStation
austinfilmfest,Film
BillNye,Scientist
jordanbpeterson,Scientist
VitalikButerin,Scientist
ReedTimmerAccu,Scientist
michiokaku,Scientist
sapinker,Scientist
VPrasadMDMPH,Scientist
BadAstronomer,Scientist
JonHaidt,Scientist
KHayhoe,Scientist
CT_Bergstrom,Scientist
JaneGoodallInst,Scientist
IBJIYONGI,Scientist
karpathy,Scientist
DrPhilGoff,Scientist
bgreene,Scientist
BigJoeBastardi,Scientist
ayanaeliza,Scientist
gorskon,Scientist
NickSzabo4,Scientist
mattblaze,Scientist
elakdawalla,Scientist
AmarAmarasingam,Scientist
harari_yuval,Scientist
mikamckinnon,Scientist
profvrr,Scientist
R_Thaler,Scientist
SylviaEarle,Scientist
DrKateMarvel,Scientist
el33th4xor,Scientist
penguinusa,Publisher
HolocaustMuseum,Museum
ncwhm,Museum
DesignMuseum,Museum
PenguinUKBooks,Publisher
TheGarden,Venue
vangoghmuseum,Museum
NASAAmes,GovernmentAgency
NASAArmstrong,GovernmentAgency
IMS,Place
Sept11Memorial,Place
theryman,Venue
yadvashem,Museum
ConstitutionCtr,Museum
CitiField,Venue
newmuseum,Museum
TheFranklin,Museum
LincolnCenter,Venue
newbeverly,Venue
IntlSpyMuseum,Museum
NHL,Sport
NHL,SportsLeague
TheAHL,SportsLeague
ECHL,SportsLeague
USHL,SportsLeague
NFL,Sport
NFL,SportsLeague
MLB,Sport
MLB,SportsLeague
Yankees,Sport
Yankees,BaseballTeam
Yankees,SportsTeam
Patriots,Sport
Patriots,AmericanFootballTeam
Patriots,SportsTeam
warriors,Sport
warriors,BasketballTeam
warriors,SportsTeam
premierleague,Sport
premierleague,SportsLeague
steelers,Sport
steelers,AmericanFootballTeam
steelers,SportsTeam
Eagles,Sport
Eagles,AmericanFootballTeam
Eagles,SportsTeam
RedSox,Sport
RedSox,BaseballTeam
RedSox,SportsTeam
Giants,Sport
Giants,AmericanFootballTeam
Giants,SportsTeam
FaZeClan,Sport
celtics,Sport
celtics,BasketballTeam
celtics,SportsTeam
PGATOUR,Sport
PGATOUR,SportsLeague
packers,Sport
packers,AmericanFootballTeam
packers,SportsTeam
Mets,Sport
Mets,BaseballTeam
Mets,SportsTeam
Chiefs,Sport
