screen_name,dbpedia_types
BarackObama,"[['Person', 'Politician', 'Politician']]"
justinbieber,"[['Person', 'Artist', 'MusicalArtist']]"
katyperry,"[['Person', 'Artist', 'MusicalArtist']]"
rihanna,"[['Person', 'Artist', 'MusicalArtist']]"
taylorswift13,"[['Person', 'MusicalArtist']]"
Cristiano,"[['Person', 'Athlete', 'SoccerPlayer']]"
TheEllenShow,"[['Person', 'Artist', 'Comedian']]"
realDonaldTrump,"[['Person', 'Politician']]"
ArianaGrande,"[['Person', 'Artist', 'MusicalArtist']]"
YouTube,"[['Website', 'Work']]"
YouTube,[['TelevisionStation']]
jtimberlake,"[['Person', 'MusicalArtist']]"
KimKardashian,[['Person']]
selenagomez,"[['Person', 'MusicalArtist']]"
Twitter,"[['Company', 'Organisation']]"
Twitter,"[['Website', 'Work']]"
cnnbrk,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
britneyspears,"[['Person', 'Artist', 'MusicalArtist']]"
narendramodi,"[['Person', 'Politician', 'Politician']]"
shakira,"[['Person', 'Artist', 'MusicalArtist']]"
jimmyfallon,"[['Person', 'Artist', 'Comedian']]"
BillGates,[['Person']]
CNN,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
neymarjr,"[['Person', 'Athlete', 'SoccerPlayer']]"
nytimes,[['PersonFunction']]
nytimes,"[['Newspaper', 'PeriodicalLiterature', 'WrittenWork', 'Work']]"
KingJames,"[['Person', 'Athlete', 'BasketballPlayer']]"
JLo,[['Actor']]
MileyCyrus,"[['Person', 'Artist', 'MusicalArtist']]"
Oprah,[['Person']]
BBCBreaking,"[['Company', 'Organisation']]"
SrBachchan,[['Actor']]
iamsrk,"[['Person', 'Actor', 'Artist']]"
BeingSalmanKhan,"[['Person', 'Actor', 'Artist']]"
NiallOfficial,"[['Person', 'MusicalArtist']]"
SportsCenter,"[['TelevisionShow', 'Work']]"
KevinHart4real,[['Person']]
wizkhalifa,"[['Person', 'MusicalArtist']]"
instagram,"[['Software', 'Work']]"
instagram,[['Organisation']]
espn,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
LilTunechi,[['Band']]
imVkohli,"[['Person', 'Athlete', 'Cricketer']]"
Harry_Styles,"[['Person', 'MusicalArtist']]"
realmadrid,"[['Organisation', 'SoccerClub', 'SportsClub']]"
Louis_Tomlinson,"[['Person', 'MusicalArtist']]"
PMOIndia,"[['Person', 'Politician', 'Politician']]"
LiamPayne,"[['Person', 'MusicalArtist']]"
KylieJenner,[['Person']]
sachin_rt,"[['Person', 'Athlete', 'Cricketer']]"
chrisbrown,"[['Person', 'MusicalArtist']]"
onedirection,[['Band']]
NBA,[['BasketballLeague']]
NBA,"[['SoccerLeague', 'Organisation']]"
aliciakeys,"[['Person', 'MusicalArtist']]"
KAKA,"[['Person', 'Athlete', 'SoccerPlayer']]"
kanyewest,"[['Person', 'MusicalArtist']]"
EmmaWatson,[['Person']]
POTUS,"[['Person', 'Politician']]"
KendallJenner,"[['Person', 'Model']]"
zaynmalik,"[['Person', 'MusicalArtist']]"
khloekardashian,[['Person']]
BBCWorld,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
BBCWorld,[['Book']]
Adele,"[['Person', 'Artist', 'MusicalArtist']]"
HillaryClinton,"[['Person', 'Politician', 'Politician']]"
deepikapadukone,[['Actor']]
priyankachopra,[['Actor']]
aamir_khan,"[['Person', 'Actor', 'Artist']]"
danieltosh,"[['Person', 'Artist', 'Comedian']]"
NFL,[['PersonFunction']]
NFL,"[['AmericanFootballLeague', 'SportsLeague', 'Organisation']]"
ShawnMendes,"[['Person', 'Artist', 'MusicalArtist']]"
kourtneykardash,[['Person']]
MesutOzil1088,"[['Person', 'Athlete', 'SoccerPlayer']]"
BTS_twt,"[['Band', 'Organisation', 'Group']]"
TheEconomist,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
NatGeo,"[['Magazine', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
coldplay,"[['Band', 'Organisation', 'Group']]"
Eminem,"[['Person', 'MusicalArtist']]"
Google,[['Company']]
premierleague,"[['Organisation', 'SoccerLeague', 'SportsLeague']]"
Reuters,"[['Company', 'Organisation']]"
MariahCarey,"[['Person', 'MusicalArtist']]"
ManUtd,"[['Organisation', 'SoccerClub', 'SportsClub']]"
AvrilLavigne,"[['Person', 'Artist', 'MusicalArtist']]"
davidguetta,[['MusicalArtist']]
AnushkaSharma,[['Actor']]
NICKIMINAJ,"[['Person', 'Artist', 'MusicalArtist']]"
blakeshelton,"[['Person', 'Artist', 'MusicalArtist']]"
virendersehwag,"[['Person', 'Athlete', 'Cricketer']]"
aliaa08,[['Actor']]
3gerardpique,"[['Person', 'Athlete', 'SoccerPlayer']]"
bts_bighit,"[['Band', 'Organisation', 'Group']]"
LeoDiCaprio,[['Person']]
10Ronaldinho,"[['Person', 'Athlete', 'SoccerPlayer']]"
AlArabiya_Brk,"[['RadioStation', 'Broadcaster', 'Organisation']]"
AlArabiya_Brk,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
StephenAtHome,"[['Person', 'Artist', 'Comedian']]"
FoxNews,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
edsheeran,"[['Person', 'MusicalArtist']]"
JimCarrey,[['Actor']]
